Title,URL

Canva, https://www.canva.com/color-palette/

Color Hex, http://www.color-hex.com/

Color Hexa, http://www.colorhexa.com/

Color Hunt, http://colorhunt.co/

Coolors, https://coolors.co/

Color Mind, http://colormind.io/

Pictaculous, http://www.pictaculous.com/

Materialize CSS, http://materializecss.com/color.html	

Material Design Theme, http://mcg.mbitson.com/#!?mcgpalette0=%233f51b5

Material IO, https://material.io/color/#!/?view.left=0&view.right=0

Paletton, http://paletton.com/

Beauty Color, https://www.beautycolorcode.com/a8eab0

Brand Color, https://brandcolors.net/
